net,length_um
net530,436.4
net360,436.22
net599,436.11
net204,435.25
net320,435.04
_11625_,433.17
_06183_,432.51
_05375_,432.46
net328,432
net462,431.92
_08059_,431.46
_07794_,431.33
net504,431.145
net446,430.42
net416,428.82
net387,428.74
_08638_,428.56
net37,428.18
net81,427.87
_02308_,426.87
net572,426.76
net524,426.5
_08016_,426.48
net362,426.195
net449,424.73
net196,424.5
_07589_,424.425
_07035_,424.255
net90,423.04
net156,422.82
_10952_,422.68
net437,422.59
_06106_,421.85
net287,421.815
net214,421.08
clknet_4_9__leaf_clk,420.68
net375,420.46
_04549_,420.24
_06489_,420.11
_10623_,420.11
net384,419.69
_05271_,419.42
net569,419.39
_12401_,418.77
_07804_,418.62
net533,418.24
net191,418.02
net339,417.67
_09328_,417.56
net523,417.29
net556,417.06
net356,416.455
_06379_,416.25
net363,415.56
net412,415.3
net374,414.58
net7,414.3
_07765_,413.735
net306,413.06
net193,412.79
_12711_,412.66
net159,412.32
net392,410.29
_07787_,409.53
_05397_,408.26
net414,408.06
_06169_,407.415
_02331_,407.29
_05855_,407.19
_05356_,406.945
net576,406.86
_06453_,406.57
_05658_,406.34
net373,405.71
net160,404.72
net135,404.55
net570,404.46
_10909_,402.92
net100,402.91
net520,401.79
net199,401.515
_05454_,399.79
net238,398.56
net499,398.1
clknet_4_14__leaf_clk,398.05
_09389_,397.74
net371,397.3
net50,396.94
net308,396.86
net565,396.45
net96,396.15
net394,395.86
net40,395.68
net63,395.5
net372,395.39
_02233_,395.3
_05355_,394.73
_06188_,394.67
net411,393.7
net247,393.24
_05453_,391.97
net264,391.39
net560,391.2
net401,390.84
_02318_,388.33
net218,388.33
net488,388.32
net510,388.3
_06158_,388
net155,387.925
_05393_,387.1
net389,385.93
_09283_,385.63
net184,384.58
net577,383.04
net343,382.74
net482,382.02
net426,381.96
net195,381.02
_06311_,380.7
_06299_,380.63
net8,380.34
net12,379.74
_08583_,378.875
net335,378.38
net48,377.95
_06987_,377.845
net89,377.725
net321,377.655
net62,376.98
net379,376.2
net286,375.78
net162,375.56
net45,374.71
net197,374.29
_09182_,374.19
_06190_,373.73
net231,373.12
_08338_,372.85
net368,372.66
net337,372.48
net559,370.9
net19,370.74
net340,370.5
net132,369.52
_08053_,366.56
net198,366.04
net443,365.45
_06237_,365.09
_06226_,364.86
net232,364.59
_07588_,363.995
_05405_,363.395
_05964_,363.36
net376,362.78
net105,361.955
net170,361.09
net29,360.8
_06230_,360.61
net21,358.08
net436,357.58
_07050_,355.59
net391,355.59
net493,355.36
net408,355.15
net323,354.36
net479,353.835
net237,353.72
net310,352.92
net273,352.74
_01548_,352.53
net526,352.48
_07790_,351.94
net605,351.83
net267,351.825
net301,350.96
