net,length_um
_09471_,43.505
_02141_,43.5
_12479_,43.5
_03248_,43.48
_11649_,43.48
_02465_,43.44
_05959_,43.44
_10586_,43.44
pe_row\[0\].pe_col\[1\].pe_inst.a_out\[3\],43.43
_09367_,43.395
_04389_,43.375
_03590_,43.36
_11812_,43.36
_09582_,43.34
_02376_,43.32
_10171_,43.32
_12786_,43.27
_03962_,43.26
_05782_,43.26
_10140_,43.26
pe_row\[1\].pe_col\[1\].pe_inst.b_out\[7\],43.26
clknet_leaf_74_clk,43.26
_11637_,43.24
_02612_,43.21
_09385_,43.15
_01668_,43.06
_02471_,43.06
_02570_,43.06
_04034_,43.06
_09743_,43.04
_03233_,43.03
_01770_,43.02
_05068_,43.02
_05501_,43.02
_09523_,43.015
_09717_,43
_02775_,42.995
_11414_,42.995
_01776_,42.98
_02721_,42.96
_03879_,42.96
clknet_leaf_89_clk,42.96
_08046_,42.94
_08689_,42.94
net607,42.89
_07056_,42.88
_10555_,42.88
pe_row\[3\].pe_col\[2\].pe_inst.a_out\[4\],42.88
net591,42.88
_01694_,42.86
_12384_,42.85
_01765_,42.82
_06943_,42.82
_01068_,42.8
_10939_,42.775
_08181_,42.7
_08923_,42.66
_05868_,42.6
_06228_,42.59
_05524_,42.58
_10572_,42.58
pe_row\[2\].pe_col\[2\].pe_inst.a_out\[4\],42.58
_03543_,42.57
_10200_,42.56
_03539_,42.54
_11177_,42.54
_02534_,42.53
_02576_,42.52
_05369_,42.48
_08094_,42.46
_12952_,42.46
_12368_,42.45
_00358_,42.445
_07246_,42.44
_10980_,42.44
clknet_leaf_2_clk,42.44
_01558_,42.42
_06224_,42.42
_12198_,42.4
_03985_,42.39
_04147_,42.33
_00792_,42.32
_09884_,42.32
_06097_,42.28
_02304_,42.26
_12131_,42.24
_04759_,42.2
_08028_,42.2
_08640_,42.2
_12739_,42.2
_00826_,42.195
_13099_,42.18
_03430_,42.17
_08952_,42.15
_05910_,42.1
_07296_,42.1
_05811_,42.08
_08535_,42.08
_04080_,42.06
pe_row\[2\].pe_col\[0\].pe_inst.a_out\[3\],42.06
_07982_,42.04
_10524_,42.04
_06735_,42
_05178_,41.98
net621,41.98
_11743_,41.97
_03236_,41.96
_03565_,41.96
_07275_,41.96
_01938_,41.94
_11201_,41.94
_03279_,41.93
_06165_,41.93
_03994_,41.92
_11546_,41.92
_12437_,41.9
_13027_,41.9
_11501_,41.88
_03506_,41.86
_06669_,41.86
_09681_,41.86
_04820_,41.82
_12267_,41.82
_03301_,41.78
_02680_,41.76
_03746_,41.76
_10243_,41.76
_05290_,41.755
_12601_,41.755
_01330_,41.75
_01986_,41.74
_07435_,41.74
_05591_,41.72
_03592_,41.7
_13076_,41.7
_12249_,41.675
_08784_,41.66
_09308_,41.66
_02119_,41.65
_02804_,41.64
_00841_,41.62
_08176_,41.58
_01782_,41.56
_05561_,41.56
_12381_,41.56
_12783_,41.52
_02896_,41.48
_10175_,41.48
_11545_,41.48
pe_row\[0\].pe_col\[1\].pe_inst.b_in\[5\],41.48
_04345_,41.47
_04408_,41.46
_02132_,41.44
_09683_,41.44
_10111_,41.44
_02689_,41.42
clknet_leaf_131_clk,41.42
_03299_,41.4
_08198_,41.4
_10191_,41.38
_06594_,41.36
_03266_,41.34
_08476_,41.34
_00793_,41.325
_07214_,41.32
_02913_,41.3
_00831_,41.28
pe_row\[0\].pe_col\[1\].pe_inst.b_out\[7\],41.28
_08076_,41.255
_03747_,41.24
_05118_,41.205
_04052_,41.2
_04799_,41.2
_10133_,41.2
_02918_,41.18
_07170_,41.18
_10283_,41.18
_11822_,41.08
_07788_,41.07
_03375_,41.06
_03540_,41.06
_07956_,41.06
_08056_,41.06
_04979_,41.04
_09614_,41.04
_06511_,41.02
_07052_,41.02
_00885_,41
_02151_,41
_12933_,41
net853,41
_09623_,40.98
_10302_,40.96
_10170_,40.94
_12685_,40.94
_12587_,40.93
_11721_,40.92
_13117_,40.92
_07029_,40.89
_10320_,40.89
_06709_,40.86
_03965_,40.855
_02875_,40.84
_05149_,40.84
_09122_,40.84
_12170_,40.84
_06667_,40.82
_07172_,40.82
_07779_,40.82
_03624_,40.78
_08852_,40.78
_04348_,40.76
_08513_,40.76
_08012_,40.7
_09013_,40.7
_00357_,40.685
_05656_,40.68
_06966_,40.68
_02681_,40.66
_12449_,40.65
_01565_,40.64
_06937_,40.64
_07979_,40.64
_08776_,40.64
pe_row\[1\].pe_col\[2\].pe_inst.a_out\[3\],40.62
clknet_leaf_0_clk,40.6
_11166_,40.58
_09642_,40.555
_07384_,40.54
_01875_,40.52
_01264_,40.5
_12025_,40.5
_06872_,40.48
clknet_leaf_3_clk,40.48
_00655_,40.465
_09411_,40.45
_07987_,40.42
_10028_,40.42
_01947_,40.41
_10733_,40.38
clknet_leaf_7_clk,40.38
_04020_,40.37
_01889_,40.35
_10121_,40.34
_06497_,40.28
_12777_,40.28
_01134_,40.26
_04230_,40.26
_04776_,40.215
_05262_,40.2
_06336_,40.14
_07153_,40.14
_07247_,40.14
_13098_,40.14
_02811_,40.1
_04811_,40.1
_12676_,40.1
pe_row\[0\].pe_col\[0\].pe_inst.a_out\[1\],40.1
pe_row\[0\].pe_col\[1\].pe_inst.a_out\[7\],40.08
_06505_,40.05
_09198_,40.04
_01674_,40.03
_01259_,40.005
_04127_,40
_12903_,40
_08112_,39.99
_10865_,39.98
_11708_,39.98
_02978_,39.97
_08901_,39.96
_10265_,39.96
_13233_,39.96
_01747_,39.94
_02725_,39.94
_01449_,39.915
_01489_,39.9
net610,39.9
_03134_,39.88
_08686_,39.875
_12050_,39.86
_02958_,39.85
_03431_,39.83
_04317_,39.82
_06492_,39.8
_11105_,39.8
_09841_,39.78
_11758_,39.78
_00648_,39.765
_01268_,39.74
_03458_,39.72
_09223_,39.72
_04732_,39.7
_07860_,39.68
_08322_,39.68
_11271_,39.68
_12793_,39.66
_09355_,39.63
_02599_,39.62
_04746_,39.6
_10493_,39.6
_05653_,39.58
_03949_,39.57
_10930_,39.54
_01069_,39.52
_04132_,39.52
pe_row\[1\].pe_col\[2\].pe_inst.a_out\[4\],39.48
_06938_,39.46
_08255_,39.46
_08624_,39.46
_04747_,39.455
_02280_,39.43
_05213_,39.43
_01201_,39.42
_08089_,39.42
_10492_,39.42
_02293_,39.4
_06420_,39.4
_06509_,39.4
_07306_,39.4
_08851_,39.4
_05384_,39.38
_12835_,39.36
_03144_,39.34
_05226_,39.34
_11723_,39.34
_12612_,39.335
_02574_,39.32
_10446_,39.3
_04427_,39.28
_08793_,39.28
_11777_,39.27
_03379_,39.26
_08340_,39.26
_09295_,39.26
_00998_,39.24
_09027_,39.24
_09659_,39.24
_02496_,39.22
_02682_,39.22
_08892_,39.22
_11803_,39.22
_08736_,39.2
_02662_,39.18
_01726_,39.16
_02012_,39.16
_03772_,39.14
_04145_,39.14
_04339_,39.12
_04698_,39.12
_03960_,39.1
_03256_,39.08
_04878_,39.08
_12322_,39.08
_12804_,39.04
_08135_,39.02
_01644_,39.01
_05155_,39.01
_02979_,39
_05747_,38.99
_07282_,38.96
clknet_leaf_127_clk,38.96
_05318_,38.955
_08006_,38.92
_12923_,38.91
_04501_,38.9
_13194_,38.9
_07082_,38.89
_02137_,38.84
_13230_,38.82
_04947_,38.8
_08453_,38.8
_09144_,38.8
_12543_,38.8
_05641_,38.78
_05968_,38.78
_04053_,38.76
_01964_,38.74
_02503_,38.74
_10957_,38.74
_11776_,38.73
_02499_,38.72
_04272_,38.72
_05581_,38.7
_01914_,38.695
_04370_,38.66
clknet_leaf_59_clk,38.645
_02362_,38.62
_02904_,38.62
_07883_,38.58
_07504_,38.56
_11087_,38.56
_01692_,38.54
_03816_,38.5
_08745_,38.5
_10932_,38.5
_12032_,38.5
_01618_,38.46
_03483_,38.46
_06703_,38.46
_11472_,38.46
_05783_,38.45
_08032_,38.42
_07264_,38.415
_01927_,38.38
_03201_,38.38
_10880_,38.38
_01626_,38.36
_03350_,38.36
_03993_,38.36
_04102_,38.36
_04792_,38.36
_11614_,38.345
_08771_,38.34
net933,38.34
_08546_,38.32
_05612_,38.315
_12542_,38.315
_02821_,38.31
_02003_,38.3
_12974_,38.28
_02484_,38.26
_05875_,38.255
_05306_,38.24
_04886_,38.23
_09019_,38.2
_01783_,38.18
_04323_,38.16
_12960_,38.14
_07912_,38.13
_03220_,38.12
_04755_,38.12
_01423_,38.1
_04411_,38.085
_05108_,38.08
_13110_,38.08
_08334_,38.07
_08687_,38.07
_05207_,38.06
_09640_,38.06
_12820_,38.06
_06836_,38.04
_10574_,38.04
_03107_,38.03
_03023_,38.02
_12376_,38.02
_09552_,38
_04611_,37.97
_02084_,37.96
_05676_,37.96
_11318_,37.94
_12981_,37.92
_11935_,37.9
_03716_,37.895
_05889_,37.86
_12758_,37.85
_06539_,37.845
_05010_,37.84
_06661_,37.84
_11702_,37.84
_05632_,37.81
_11979_,37.81
_09249_,37.8
_02666_,37.74
_07975_,37.74
_08251_,37.74
_12031_,37.72
_11129_,37.68
_11192_,37.65
_03637_,37.64
_09899_,37.64
_11660_,37.64
_12893_,37.64
_11295_,37.63
_01258_,37.62
_03545_,37.62
_04033_,37.62
_12168_,37.6
_06518_,37.595
_04217_,37.58
_07093_,37.58
_09728_,37.58
_10643_,37.56
_12846_,37.56
_04226_,37.54
_04320_,37.52
_08156_,37.52
_12414_,37.51
_03982_,37.48
_05745_,37.47
_06045_,37.44
_08253_,37.44
_12714_,37.44
clknet_leaf_91_clk,37.44
_09829_,37.42
_02987_,37.4
_08011_,37.39
_08947_,37.38
_02126_,37.36
_03722_,37.36
_05717_,37.36
_02477_,37.355
_02566_,37.35
_07898_,37.34
_05718_,37.32
_07477_,37.32
_03424_,37.3
_11740_,37.295
_13105_,37.29
_09512_,37.28
_09809_,37.28
_01073_,37.26
_11452_,37.26
_03006_,37.24
_09862_,37.24
_11838_,37.24
_04342_,37.22
_06466_,37.22
_11031_,37.22
_12001_,37.22
_09024_,37.21
_08241_,37.2
_06919_,37.18
_12550_,37.18
_01041_,37.16
_12262_,37.16
clknet_leaf_14_clk,37.14
_06351_,37.135
_03050_,37.13
_05598_,37.12
_04558_,37.09
_05093_,37.08
_08782_,37.08
_09296_,37.08
_01717_,37.06
_04678_,37.06
_08115_,37.06
_08822_,37.06
_06404_,37.04
_03016_,37.03
_07928_,37.02
_01945_,37
_09830_,37
_01622_,36.985
_01097_,36.98
_01361_,36.98
_03313_,36.97
_04863_,36.96
_13053_,36.955
_07166_,36.92
_04641_,36.9
_04666_,36.9
pe_row\[1\].pe_col\[0\].pe_inst.b_out\[6\],36.9
_06103_,36.88
_10422_,36.88
_11918_,36.88
_12047_,36.88
_09847_,36.84
_12866_,36.84
_03286_,36.82
_07126_,36.78
_09374_,36.77
_03706_,36.74
_07838_,36.74
_12214_,36.74
_11273_,36.72
_04984_,36.7
_09483_,36.7
_12973_,36.7
_06743_,36.68
_07185_,36.68
_07917_,36.68
_08870_,36.68
_09025_,36.68
_11260_,36.68
_05284_,36.66
net9,36.66
_00863_,36.64
_02217_,36.64
clknet_leaf_126_clk,36.64
_02507_,36.62
_06082_,36.62
_11296_,36.6
_08812_,36.58
_10324_,36.58
_12362_,36.55
_10507_,36.54
_09486_,36.535
_06765_,36.52
_01107_,36.51
_04169_,36.5
_07864_,36.5
_10054_,36.5
_12837_,36.5
_02594_,36.48
_02606_,36.48
_07584_,36.48
_06631_,36.46
_12178_,36.46
_12520_,36.46
_02497_,36.42
_12838_,36.42
_05826_,36.38
_05469_,36.36
_06634_,36.36
_09679_,36.36
_10780_,36.34
_05487_,36.32
_09834_,36.32
_03288_,36.315
_08237_,36.31
_04802_,36.28
_07938_,36.28
_09698_,36.28
_11922_,36.28
_09319_,36.275
_08350_,36.27
_04896_,36.26
_10904_,36.26
_13191_,36.26
_01760_,36.24
_07636_,36.24
_12114_,36.24
_08753_,36.22
_08737_,36.2
_01056_,36.18
_05843_,36.18
_01681_,36.16
_06461_,36.16
_07135_,36.155
_02081_,36.14
_04703_,36.14
_10350_,36.14
_12596_,36.14
_03598_,36.12
_09062_,36.11
_07721_,36.1
_07298_,36.08
_11257_,36.06
_10108_,36.04
_08327_,36.025
_01741_,36.02
_04843_,36.02
_12896_,36
_06544_,35.98
_06997_,35.98
_04179_,35.92
_02552_,35.9
_06024_,35.9
_08733_,35.89
_08775_,35.86
_05577_,35.82
_10644_,35.8
net608,35.8
_05923_,35.78
_09803_,35.78
_03353_,35.77
_05283_,35.76
_12109_,35.76
pe_row\[1\].pe_col\[0\].pe_inst.a_in\[7\],35.74
_01689_,35.72
_06255_,35.72
_10380_,35.72
_11334_,35.72
_11884_,35.72
_01926_,35.71
_01727_,35.7
_04724_,35.7
_07762_,35.7
_05749_,35.68
_11942_,35.66
_02258_,35.64
_07396_,35.64
_07517_,35.62
_01682_,35.6
_03207_,35.6
_04070_,35.6
_02878_,35.58
_09188_,35.58
_00920_,35.56
_01563_,35.56
_03991_,35.56
_11267_,35.56
_11285_,35.56
_02801_,35.54
_10477_,35.54
_04184_,35.52
_03251_,35.5
_05595_,35.5
_06734_,35.5
_09641_,35.48
_04106_,35.46
_12033_,35.46
_06598_,35.44
_05630_,35.42
_05845_,35.42
_09472_,35.4
_11099_,35.4
_12957_,35.4
_07822_,35.39
_03872_,35.36
_03979_,35.36
_12467_,35.36
_02627_,35.34
_05681_,35.34
_09857_,35.34
pe_row\[1\].pe_col\[2\].pe_inst.a_out\[2\],35.34
clknet_leaf_66_clk,35.34
_11847_,35.325
_04991_,35.32
_05813_,35.32
_07383_,35.32
_09145_,35.32
_10482_,35.32
_11289_,35.32
_11306_,35.32
_07641_,35.3
_08789_,35.29
_10123_,35.28
_10484_,35.28
_11965_,35.28
_05465_,35.26
_09603_,35.26
_06292_,35.24
_12487_,35.24
_01728_,35.22
_04630_,35.22
_09808_,35.2
_10059_,35.2
_10483_,35.195
_11962_,35.19
_07945_,35.18
_09961_,35.18
_13187_,35.18
_07933_,35.14
_03690_,35.125
_08055_,35.12
_08219_,35.12
_05005_,35.115
_09246_,35.1
_11116_,35.1
_11386_,35.1
clknet_leaf_42_clk,35.1
_11834_,35.09
_05853_,35.085
_11193_,35.08
_03335_,35.06
_11421_,35.06
_12192_,35.06
_10845_,35.04
_11245_,35.04
_03227_,35.02
_03628_,35
_07980_,34.99
_04046_,34.98
_04091_,34.96
_02908_,34.94
_03322_,34.94
_12366_,34.94
_02569_,34.92
_07338_,34.92
_03703_,34.9
_04334_,34.88
_00898_,34.86
_11038_,34.86
_10851_,34.85
_04294_,34.82
_10711_,34.82
_12016_,34.82
_12602_,34.82
_08060_,34.8
_11111_,34.8
_11514_,34.8
pe_row\[1\].pe_col\[0\].pe_inst.a_out\[1\],34.8
net227,34.8
_07025_,34.78
_12196_,34.78
_12715_,34.76
clknet_leaf_81_clk,34.76
_10771_,34.75
_02933_,34.74
_04162_,34.74
_12296_,34.74
_00859_,34.72
_01351_,34.7
_12603_,34.685
_07279_,34.68
_08409_,34.68
_12635_,34.68
clknet_leaf_51_clk,34.68
_03679_,34.66
_04540_,34.66
_05519_,34.66
_05851_,34.66
_08038_,34.66
_11176_,34.66
_02727_,34.65
_02664_,34.64
_03683_,34.64
_04901_,34.64
_06263_,34.64
_09968_,34.64
_06630_,34.635
_07270_,34.62
_01429_,34.6
_01923_,34.6
_05525_,34.6
_07370_,34.6
_09804_,34.56
_11854_,34.54
_12340_,34.54
_09490_,34.53
_02885_,34.52
_04067_,34.52
_12471_,34.5
a_flat[0],34.5
_05915_,34.48
_06730_,34.48
_07141_,34.48
_07327_,34.48
_09787_,34.47
_10400_,34.46
_11964_,34.46
_02179_,34.45
_03781_,34.44
_10304_,34.44
_11605_,34.43
_12460_,34.42
_03028_,34.405
_00705_,34.38
_06739_,34.38
_07133_,34.38
_11755_,34.38
_01965_,34.36
_06940_,34.36
_10050_,34.36
_08871_,34.34
_13044_,34.335
_01887_,34.33
_08880_,34.32
_02451_,34.315
_00511_,34.305
_08927_,34.3
_09130_,34.3
_06367_,34.28
_08109_,34.28
_09821_,34.28
_09940_,34.28
_07812_,34.26
_12816_,34.26
_02743_,34.24
_12752_,34.24
_08663_,34.22
net613,34.22
_05654_,34.2
_12286_,34.2
_10567_,34.18
_08257_,34.17
_01591_,34.16
_08861_,34.16
_09602_,34.16
_11205_,34.16
_03263_,34.14
_01966_,34.135
_08977_,34.12
_11647_,34.12
_03486_,34.1
_07184_,34.1
_09301_,34.1
_08795_,34.08
_09008_,34.08
_07433_,34.07
_08742_,34.06
_09621_,34.045
_10709_,34.04
_11768_,34.04
_09913_,34.02
_01975_,33.995
_04384_,33.995
_10051_,33.98
_09751_,33.975
_01834_,33.96
_04793_,33.96
_08418_,33.96
_08934_,33.96
_11919_,33.94
_03079_,33.935
_06776_,33.935
_04388_,33.92
_04434_,33.92
_04757_,33.92
_06085_,33.92
_11086_,33.92
_03613_,33.9
_11839_,33.9
_00889_,33.88
_13232_,33.88
_05112_,33.87
_01789_,33.86
_08003_,33.86
_12826_,33.86
_08814_,33.845
_05725_,33.82
_10048_,33.82
_10467_,33.82
_12127_,33.82
_03776_,33.8
_06581_,33.79
_03052_,33.76
_07174_,33.76
_08499_,33.74
_09967_,33.74
_13074_,33.74
_12126_,33.73
_07923_,33.7
_08774_,33.7
_04059_,33.695
_02919_,33.68
_00884_,33.66
_07436_,33.66
_08744_,33.66
_10824_,33.66
_02059_,33.635
_06143_,33.62
_11020_,33.62
_02572_,33.6
_05559_,33.6
_11244_,33.58
_12890_,33.58
_02028_,33.56
_05770_,33.56
_05903_,33.56
_08419_,33.56
_10827_,33.54
_03300_,33.515
_03634_,33.48
_04917_,33.48
_06397_,33.48
_07897_,33.48
_10071_,33.46
_12940_,33.46
_01884_,33.44
_03380_,33.44
_04195_,33.42
_04402_,33.42
_07295_,33.42
_05657_,33.4
_00838_,33.38
_01048_,33.38
_05098_,33.36
_12285_,33.35
_00981_,33.34
_12805_,33.34
_05337_,33.32
_08249_,33.32
_09719_,33.32
_10800_,33.32
net938,33.32
_01912_,33.3
_09707_,33.3
_02421_,33.28
_04789_,33.26
_05587_,33.26
_01660_,33.22
_02074_,33.22
_02112_,33.22
_02800_,33.22
_13058_,33.22
_04457_,33.2
_12212_,33.2
_07431_,33.18
_11574_,33.18
net936,33.18
net943,33.18
_12082_,33.17
_06451_,33.16
_12833_,33.14
_00995_,33.12
_11190_,33.12
_12509_,33.12
_11815_,33.115
_12323_,33.1
_07649_,33.06
_06994_,33.04
_10410_,33.04
_10826_,33.04
_11509_,33.04
_08139_,33.03
_01877_,33
_09945_,33
_03224_,32.98
_01997_,32.96
_03496_,32.96
_12898_,32.96
_10935_,32.955
_09894_,32.94
_10361_,32.94
_04971_,32.92
_08103_,32.9
_01083_,32.88
_10393_,32.88
_11940_,32.88
net603,32.88
_04051_,32.86
_03952_,32.84
_06374_,32.82
_01643_,32.8
a_flat[18],32.77
_02592_,32.76
_11079_,32.76
_11779_,32.76
_08846_,32.74
_10143_,32.74
_10468_,32.74
_05678_,32.72
_11328_,32.72
_08332_,32.67
_10405_,32.67
_06693_,32.66
_08844_,32.66
_09615_,32.66
_04664_,32.64
_04771_,32.64
_05449_,32.64
_09527_,32.64
_12939_,32.64
_01922_,32.62
_08070_,32.61
_13039_,32.61
_03352_,32.6
_04421_,32.6
_10545_,32.6
_10793_,32.6
_01940_,32.58
_11083_,32.58
_12056_,32.58
_09993_,32.57
_06615_,32.56
_08081_,32.56
_11180_,32.56
_09180_,32.54
_11399_,32.54
pe_row\[2\].pe_col\[0\].pe_inst.a_in\[4\],32.53
_05488_,32.52
_02204_,32.5
_11348_,32.5
_08292_,32.49
_04219_,32.48
_06187_,32.48
_03190_,32.46
_03687_,32.46
_01636_,32.42
_02863_,32.42
_04404_,32.42
_13120_,32.4
_10787_,32.395
_01501_,32.38
_03556_,32.38
_07925_,32.38
_07008_,32.36
_11345_,32.36
_02870_,32.34
_11325_,32.34
_02796_,32.32
_05829_,32.32
_08781_,32.32
_11933_,32.32
_03840_,32.3
_05978_,32.3
_09199_,32.3
_06382_,32.29
_03571_,32.28
_08164_,32.28
_10794_,32.28
_10911_,32.28
_08072_,32.27
_02887_,32.26
_10315_,32.26
_05239_,32.24
_00872_,32.225
_00970_,32.22
_10691_,32.22
_07144_,32.2
_07608_,32.2
_11736_,32.2
_12083_,32.195
_10366_,32.18
_07060_,32.16
_07939_,32.16
_10613_,32.16
_00828_,32.14
_04284_,32.14
_07691_,32.14
_09086_,32.14
_09087_,32.14
_12765_,32.14
_11332_,32.13
_01143_,32.125
_09811_,32.12
_03572_,32.1
_01150_,32.08
_05900_,32.06
a_flat[8],32.06
_10542_,32.04
_04785_,32.02
_10666_,32.02
_06982_,32.015
_02404_,32
_06438_,32
_01984_,31.98
_05909_,31.96
_09900_,31.96
_10092_,31.96
_06793_,31.955
_12891_,31.955
_07115_,31.94
_11856_,31.94
_01677_,31.92
_03063_,31.92
_05410_,31.92
_06485_,31.92
_10437_,31.92
_01161_,31.9
clknet_leaf_60_clk,31.9
_02587_,31.89
_03677_,31.89
_09475_,31.88
_11227_,31.88
_07645_,31.865
_02723_,31.86
_05636_,31.85
_02324_,31.84
_05231_,31.84
_07004_,31.84
_10840_,31.84
_12360_,31.84
_09311_,31.835
_07432_,31.83
_11019_,31.83
_01135_,31.82
_02061_,31.82
_04357_,31.82
_04568_,31.82
_06702_,31.82
_06974_,31.8
_06365_,31.78
_05181_,31.76
_06502_,31.76
_09382_,31.76
_11458_,31.755
_08691_,31.74
_08756_,31.74
_09686_,31.74
_11488_,31.74
_10272_,31.72
_05699_,31.69
_06928_,31.68
_03827_,31.66
_07139_,31.66
_10802_,31.66
_02827_,31.65
_07481_,31.64
_12610_,31.64
_04706_,31.62
_06400_,31.62
_05659_,31.6
_06471_,31.6
_08469_,31.6
_04816_,31.56
_04998_,31.56
_10979_,31.56
_01955_,31.54
_04831_,31.52
_10978_,31.5
_12580_,31.5
_04813_,31.495
_08727_,31.48
_11122_,31.48
_12458_,31.48
_12810_,31.48
_04293_,31.46
_07309_,31.46
net777,31.44
_05671_,31.42
_05946_,31.42
_07585_,31.42
_10161_,31.42
_10603_,31.42
_12696_,31.42
_01916_,31.405
_05500_,31.395
_07379_,31.38
_01749_,31.37
_12341_,31.37
_00860_,31.36
_01810_,31.36
_08914_,31.36
_01705_,31.34
_06888_,31.32
_05580_,31.315
_04923_,31.3
_05527_,31.3
_05611_,31.3
_09788_,31.28
_10746_,31.28
_12921_,31.28
_04458_,31.26
_09514_,31.24
_12790_,31.24
_05890_,31.22
_09879_,31.22
_12869_,31.22
_06760_,31.21
_07476_,31.2
_03349_,31.18
_08121_,31.18
_12250_,31.175
_01817_,31.17
_03088_,31.16
_08122_,31.16
_08290_,31.16
_11821_,31.16
_12517_,31.16
_07213_,31.14
_11493_,31.14
_07286_,31.135
_04182_,31.12
_12022_,31.12
_10712_,31.105
_04519_,31.1
_11512_,31.1
_11590_,31.1
_08869_,31.08
_09146_,31.08
_10253_,31.08
_08887_,31.07
_08155_,31.06
_09898_,31.06
_11196_,31.06
_12513_,31.04
_10496_,31.01
_02772_,31
_08091_,31
_09966_,31
_10768_,31
_10682_,30.98
_11378_,30.98
_02373_,30.97
_06335_,30.96
_12798_,30.94
_03616_,30.92
_09539_,30.92
_12730_,30.92
_03452_,30.91
_01064_,30.9
_01315_,30.9
_09690_,30.88
_07241_,30.84
_09208_,30.84
_09572_,30.84
_06629_,30.83
_02608_,30.82
_08092_,30.805
_02116_,30.8
_03967_,30.8
_05849_,30.8
_09258_,30.8
_09883_,30.8
_11608_,30.8
_13252_,30.8
_01998_,30.78
_03775_,30.78
_05110_,30.78
_11270_,30.78
_10499_,30.76
_01649_,30.74
_06304_,30.74
_08085_,30.74
_08882_,30.74
_03074_,30.72
_03377_,30.72
_04826_,30.72
_09570_,30.72
_11436_,30.72
_12405_,30.72
_02260_,30.7
_05142_,30.7
_06027_,30.7
_06425_,30.7
_09254_,30.7
_01071_,30.68
_01651_,30.68
_04510_,30.68
_06428_,30.68
_12287_,30.68
_12552_,30.68
_04156_,30.66
_08589_,30.66
_01896_,30.65
_01640_,30.645
_09155_,30.64
_09753_,30.64
_11358_,30.64
_07877_,30.62
_08236_,30.62
_02519_,30.6
_11526_,30.6
_12299_,30.6
_10087_,30.59
_00947_,30.585
_05204_,30.58
_08305_,30.58
_08925_,30.58
_08849_,30.57
_09344_,30.57
_02424_,30.56
_04833_,30.56
_06449_,30.56
_07731_,30.56
_10386_,30.56
_06429_,30.55
_01948_,30.54
_05135_,30.54
_08730_,30.54
_09168_,30.54
_11238_,30.54
_05370_,30.535
_08187_,30.52
_09824_,30.52
_09116_,30.5
_03481_,30.48
_12067_,30.48
_12546_,30.48
_03999_,30.47
_01702_,30.46
_02068_,30.46
_05395_,30.46
_03084_,30.44
_05089_,30.42
_09634_,30.42
_10027_,30.42
_04500_,30.4
_10593_,30.4
_08284_,30.39
_01146_,30.38
_02065_,30.38
_03336_,30.38
_04283_,30.38
_12503_,30.38
_02073_,30.36
_03860_,30.36
_04119_,30.36
_09616_,30.36
_13132_,30.355
_01168_,30.34
_01176_,30.34
_02527_,30.34
_03395_,30.32
_04198_,30.32
_06550_,30.3
_10347_,30.3
_07792_,30.28
_11253_,30.28
_11897_,30.28
_10155_,30.265
_02648_,30.26
_03525_,30.255
_05816_,30.24
_03799_,30.22
_05208_,30.22
net594,30.22
_04506_,30.2
_12961_,30.2
c_flat[302],30.19
_01082_,30.18
_02833_,30.18
_04097_,30.18
_07197_,30.18
_01575_,30.16
_07362_,30.16
_12791_,30.16
_04846_,30.14
_07193_,30.14
_10450_,30.14
_02973_,30.12
_04252_,30.12
_06584_,30.1
_08421_,30.1
_03582_,30.08
_05113_,30.08
_05730_,30.08
_07372_,30.08
_09674_,30.08
_03277_,30.06
_05499_,30.06
_04663_,30.04
_04047_,30.02
_05048_,30.02
_02158_,30
_02712_,30
_02797_,30
_10369_,30
_09361_,29.98
_12108_,29.98
_00901_,29.96
_06202_,29.96
_12240_,29.96
_12900_,29.96
_04363_,29.95
_04481_,29.94
_06559_,29.92
_09105_,29.92
_10032_,29.92
pe_row\[0\].pe_col\[2\].pe_inst.b_in\[3\],29.92
_05746_,29.9
_07868_,29.9
_05933_,29.88
_09084_,29.88
_09573_,29.88
_10888_,29.88
pe_row\[1\].pe_col\[0\].pe_inst.b_out\[5\],29.88
_01180_,29.86
_05529_,29.86
_02675_,29.84
_03462_,29.84
_05761_,29.84
_02095_,29.8
_05669_,29.8
_06452_,29.8
_07149_,29.8
_08007_,29.8
_09858_,29.8
_12779_,29.8
_04469_,29.78
_04852_,29.78
_06856_,29.78
_08220_,29.78
_09242_,29.78
_12318_,29.76
_06517_,29.74
_06818_,29.74
_11525_,29.74
_02434_,29.73
_02732_,29.72
_09848_,29.72
_02056_,29.7
_07114_,29.7
_06219_,29.68
_11202_,29.68
b_flat[17],29.665
_04710_,29.66
_11901_,29.66
_00875_,29.65
_01337_,29.63
_04398_,29.62
_09335_,29.62
_09405_,29.62
_04830_,29.61
_05647_,29.6
_11084_,29.58
_08850_,29.56
_01367_,29.54
_07867_,29.54
_02360_,29.52
_02143_,29.48
_06074_,29.48
_02564_,29.46
_09177_,29.46
_09446_,29.46
_02650_,29.455
net598,29.435
_11059_,29.43
_09662_,29.4
_11139_,29.4
_10753_,29.39
_11145_,29.39
_03494_,29.38
_02626_,29.36
_09248_,29.36
_09309_,29.36
_07374_,29.34
_08230_,29.34
_10602_,29.34
_10972_,29.32
_02083_,29.3
_10699_,29.3
_01088_,29.28
_04764_,29.28
_07251_,29.28
_10406_,29.26
_01026_,29.24
_01124_,29.22
_06506_,29.22
_11547_,29.22
_08378_,29.2
